Date,Price,Quantity Sold
Aug 03 2018 01: +0,0.118,36548
Aug 04 2018 01: +0,0.102,32191
Aug 05 2018 01: +0,0.089,33342
Aug 06 2018 01: +0,0.08,31715
Aug 07 2018 01: +0,0.08,31339
Aug 08 2018 01: +0,0.082,31872
Aug 09 2018 01: +0,0.079,30609
Aug 10 2018 01: +0,0.074,31728
Aug 11 2018 01: +0,0.067,30548
Aug 12 2018 01: +0,0.06,30797
Aug 13 2018 01: +0,0.057,30414
Aug 14 2018 01: +0,0.049,28546
Aug 15 2018 01: +0,0.037,28795
Aug 16 2018 01: +0,0.035,22384
Aug 17 2018 01: +0,0.038,24526
Aug 18 2018 01: +0,0.039,26455
Aug 19 2018 01: +0,0.034,25734
Aug 20 2018 01: +0,0.032,22101
Aug 21 2018 01: +0,0.03,22416
Aug 22 2018 01: +0,0.03,19407
Aug 23 2018 01: +0,0.03,18971
Aug 24 2018 01: +0,0.03,19312
Aug 25 2018 01: +0,0.03,20576
Aug 26 2018 01: +0,0.03,22341
Aug 27 2018 01: +0,0.03,24876
Aug 28 2018 01: +0,0.03,20376
Aug 29 2018 01: +0,0.03,21229
Aug 30 2018 01: +0,0.03,24053
Aug 31 2018 01: +0,0.03,24380
Sep 01 2018 01: +0,0.03,23896
Sep 02 2018 01: +0,0.03,21806
Sep 03 2018 01: +0,0.03,19907
Sep 04 2018 01: +0,0.03,20007
Sep 05 2018 01: +0,0.03,21223
Sep 06 2018 01: +0,0.03,22092
Sep 07 2018 01: +0,0.03,22554
Sep 08 2018 01: +0,0.03,23752
Sep 09 2018 01: +0,0.03,25990
Sep 10 2018 01: +0,0.03,20392
Sep 11 2018 01: +0,0.03,19661
Sep 12 2018 01: +0,0.03,23041
Sep 13 2018 01: +0,0.03,22601
Sep 14 2018 01: +0,0.03,26804
Sep 15 2018 01: +0,0.03,30184
Sep 16 2018 01: +0,0.03,28134
Sep 17 2018 01: +0,0.03,19648
Sep 18 2018 01: +0,0.03,19020
Sep 19 2018 01: +0,0.03,19052
Sep 20 2018 01: +0,0.03,22242
Sep 21 2018 01: +0,0.03,23468
Sep 22 2018 01: +0,0.03,29403
Sep 23 2018 01: +0,0.03,29259
Sep 24 2018 01: +0,0.03,23570
Sep 25 2018 01: +0,0.03,21638
Sep 26 2018 01: +0,0.03,18492
Sep 27 2018 01: +0,0.03,20418
Sep 28 2018 01: +0,0.03,22713
Sep 29 2018 01: +0,0.03,24668
Sep 30 2018 01: +0,0.03,28146
Oct 01 2018 01: +0,0.03,23670
Oct 02 2018 01: +0,0.03,21124
Oct 03 2018 01: +0,0.03,25555
Oct 04 2018 01: +0,0.03,27319
Oct 05 2018 01: +0,0.03,28943
Oct 06 2018 01: +0,0.03,30760
Oct 07 2018 01: +0,0.03,27706
Oct 08 2018 01: +0,0.03,25158
Oct 09 2018 01: +0,0.03,24496
Oct 10 2018 01: +0,0.03,27441
Oct 11 2018 01: +0,0.03,27295
Oct 12 2018 01: +0,0.03,30622
Oct 13 2018 01: +0,0.03,31922
Oct 14 2018 01: +0,0.03,28972
Oct 15 2018 01: +0,0.03,24263
Oct 16 2018 01: +0,0.03,22562
Oct 17 2018 01: +0,0.03,24538
Oct 18 2018 01: +0,0.03,24134
Oct 19 2018 01: +0,0.03,23002
Oct 20 2018 01: +0,0.03,26809
Oct 21 2018 01: +0,0.03,29610
Oct 22 2018 01: +0,0.03,24278
Oct 23 2018 01: +0,0.03,23429
Oct 24 2018 01: +0,0.03,24359
Oct 25 2018 01: +0,0.03,24326
Oct 26 2018 01: +0,0.03,27818
Oct 27 2018 01: +0,0.03,31425
Oct 28 2018 01: +0,0.03,26268
Oct 29 2018 01: +0,0.03,27456
Oct 30 2018 01: +0,0.03,24703
Oct 31 2018 01: +0,0.03,25303
Nov 01 2018 01: +0,0.03,28757
Nov 02 2018 01: +0,0.03,23283
Nov 03 2018 01: +0,0.03,26269
Nov 04 2018 01: +0,0.03,23589
Nov 05 2018 01: +0,0.03,17679
Nov 06 2018 01: +0,0.03,16311
Nov 07 2018 01: +0,0.03,16046
Nov 08 2018 01: +0,0.03,18498
Nov 09 2018 01: +0,0.03,21854
Nov 10 2018 01: +0,0.03,22244
Nov 11 2018 01: +0,0.03,22041
Nov 12 2018 01: +0,0.03,17396
Nov 13 2018 01: +0,0.03,17263
Nov 14 2018 01: +0,0.03,17968
Nov 15 2018 01: +0,0.03,17789
Nov 16 2018 01: +0,0.03,17341
Nov 17 2018 01: +0,0.03,22008
Nov 18 2018 01: +0,0.03,22591
Nov 19 2018 01: +0,0.03,20513
Nov 20 2018 01: +0,0.03,24325
Nov 21 2018 01: +0,0.03,20372
